Climate Zone,Core Planet Biome,Planet Variant,Planet Name
WET,Ocean,Barnacle,Aegir
WET,Ocean,Barnacle,Bathys
WET,Ocean,Barnacle,Pelagos
WET,Ocean,Barnacle,Seatos
WET,Ocean,Barnacle,Nereus
WET,Ocean,Barnacle,Calypsor
WET,Ocean,Barnacle,Kettos
WET,Ocean,Reef,Thalassa
WET,Ocean,Reef,Pelagos
WET,Ocean,Reef,Seatos
WET,Ocean,Reef,Varuna
WET,Ocean,Reef,Ephyra
WET,Ocean,Reef,Calypsor
WET,Ocean,Reef,Maris
WET,Ocean,Reef,Nereus
WET,Ocean,Reef,Cychia
WET,Ocean,Reef,Oura
WET,Ocean,Reef,Selonia
WET,Ocean,Archipelago,Thalassa
WET,Ocean,Archipelago,Pelagos
WET,Ocean,Archipelago,Estuary
WET,Ocean,Archipelago,Oasis
WET,Ocean,Archipelago,Seatos
WET,Ocean,Archipelago,Varuna
WET,Ocean,Archipelago,Ephyra
WET,Ocean,Archipelago,Kythera
WET,Ocean,Archipelago,Maris
WET,Ocean,Archipelago,Oura
WET,Ocean,Archipelago,Selonia
WET,Ocean,Archipelago,Hatteras
WET,Tropical,Atoll,Halea
WET,Tropical,Atoll,Eden
WET,Tropical,Atoll,Oasis
WET,Tropical,Atoll,Thalassa
WET,Tropical,Atoll,Pelagos
WET,Tropical,Atoll,Seatos
WET,Tropical,Atoll,Varuna
WET,Tropical,Atoll,Ephyra
WET,Tropical,Atoll,Maris
WET,Tropical,Atoll,Oura
WET,Tropical,Atoll,Selonia
WET,Tropical,Tepui,Targea
WET,Tropical,Tepui,Atlas
WET,Tropical,Tepui,Kharon
WET,Tropical,Tepui,Kydon
WET,Tropical,Tepui,Xylos
WET,Tropical,Tepui,Arctis
WET,Tropical,Tepui,Karthakk
WET,Tropical,Mangrove,Estuary
WET,Tropical,Mangrove,Varuna
WET,Tropical,Mangrove,Iskera
WET,Tropical,Mangrove,Maris
WET,Tropical,Mangrove,Cychia
WET,Tropical,Mangrove,Oura
WET,Tropical,Mangrove,Selonia
WET,Tropical,Mangrove,Hatteras
WET,Tropical,Cenote,Oasis
WET,Tropical,Cenote,Kessel
WET,Tropical,Cenote,Abyr
WET,Tropical,Cenote,Kharon
WET,Tropical,Cenote,Oxum
WET,Tropical,Cenote,Oura
WET,Tropical,Cenote,Athiss
WET,Tropical,Fungal,Myrkr
WET,Tropical,Fungal,Iskera
WET,Tropical,Fungal,Soryth
WET,Tropical,Fungal,Karkaris
WET,Tropical,Fungal,Sarkosis
WET,Tropical,Fungal,Kibastea
WET,Tropical,Fungal,Kalypsis
WET,Tropical,Fungal,Vervain
WET,Tropical,Aerial,Eyrie
WET,Tropical,Aerial,Aerius
WET,Tropical,Aerial,Caelis
WET,Tropical,Aerial,Aetheris
WET,Tropical,Aerial,Etheria
WET,Tropical,Aerial,Zephryon
WET,Tropical,Aerial,Zypher
WET,Tropical,Aerial,Saion
WET,Tropical,Aerial,Aeroid
WET,Tropical,Lilypad,Lotus
WET,Tropical,Lilypad,Halea
WET,Tropical,Lilypad,Varuna
WET,Tropical,Lilypad,Ilara
WET,Tropical,Lilypad,Oura
WET,Tropical,Lilypad,Selonia
WET,Tropical,Obsidian,Surtr
WET,Tropical,Obsidian,Pyr
WET,Tropical,Obsidian,Kharon
WET,Tropical,Obsidian,Typhon
WET,Tropical,Obsidian,Orcus
WET,Tropical,Obsidian,Xylos
WET,Tropical,Obsidian,Karkaris
WET,Tropical,Obsidian,Cruxos
WET,Tropical,Obsidian,Korriban
WET,Tropical,Thunder,Tempest
WET,Tropical,Thunder,Typhon
WET,Tropical,Thunder,Zypher
WET,Tropical,Thunder,Zephryon
WET,Tropical,Thunder,Electrion
WET,Tropical,Thunder,Cyclonis
WET,Tropical,Thunder,Vortexos
WET,Tropical,Thunder,Sypso
WET,Tropical,Thunder,Cosmara
WET,Tropical,Geothermal,Surtr
WET,Tropical,Geothermal,Phaeton
WET,Tropical,Geothermal,Pyr
WET,Tropical,Geothermal,Typhon
WET,Tropical,Geothermal,Helior
WET,Tropical,Geothermal,Ilios
WET,Tropical,Geothermal,Solith
WET,Tropical,Geothermal,Thermalis
WET,Tropical,Geothermal,Korriban
WET,Tropical,Bioluminescent,Aurora
WET,Tropical,Bioluminescent,Iris
WET,Tropical,Bioluminescent,Auralis
WET,Tropical,Bioluminescent,Caelis
WET,Tropical,Bioluminescent,Belyra
WET,Tropical,Bioluminescent,Xanthalis
WET,Tropical,Bioluminescent,Krysolis
WET,Tropical,Bioluminescent,Berylia
WET,Tropical,Bioluminescent,Aetheris
WET,Tropical,Bioluminescent,Etheria
WET,Tropical,Bioluminescent,Opaline
WET,Tropical,Bioluminescent,Celestria
WET,Tropical,Bioluminescent,Lucent
WET,Tropical,Bioluminescent,Vespera
WET,Tropical,Bioluminescent,Mizra
DRY,Desert,Dune,Surtr
DRY,Desert,Dune,Pyr
DRY,Desert,Dune,Targea
DRY,Desert,Dune,Kharon
DRY,Desert,Dune,Bathys
DRY,Desert,Dune,Byss
DRY,Desert,Dune,Seatos
DRY,Desert,Dune,Kydon
DRY,Desert,Dune,Xylos
DRY,Desert,Dune,Scarto
DRY,Desert,Dune,Zertos
DRY,Desert,Dune,Perma
DRY,Desert,Dune,Sunder
DRY,Desert,Dune,Kettos
DRY,Desert,Dune,Erkit
DRY,Desert,Dune,Makeb
DRY,Desert,Dune,Korriban
DRY,Desert,Dune,Ruusan
DRY,Desert,Dune,Kalar
DRY,Desert,Dune,Kura
DRY,Desert,Dune,Madray
DRY,Desert,Oasis,Eden
DRY,Desert,Oasis,Haven
DRY,Desert,Oasis,Lotus
DRY,Desert,Oasis,Oasis
DRY,Desert,Oasis,Prosperis
DRY,Desert,Oasis,Halea
DRY,Desert,Oasis,Gaea
DRY,Desert,Oasis,Varuna
DRY,Desert,Oasis,Ilara
DRY,Desert,Oasis,Solara
DRY,Desert,Oasis,Elysia
DRY,Desert,Oasis,Opaline
DRY,Desert,Oasis,Oura
DRY,Desert,Oasis,Adara
DRY,Desert,Oasis,Savis
DRY,Desert,Oasis,Selonia
DRY,Desert,Oasis,Genevah
DRY,Desert,Oasis,Luray
DRY,Desert,Outback,Tawka
DRY,Desert,Outback,Mesa
DRY,Desert,Outback,Baran
DRY,Desert,Outback,Tarren
DRY,Desert,Outback,Harvest
DRY,Desert,Outback,Frontier
DRY,Desert,Outback,Verdan
DRY,Desert,Outback,Tanalorr
DRY,Desert,Outback,Soryth
DRY,Desert,Outback,Olega
DRY,Desert,Outback,Kuat
DRY,Desert,Outback,Feros
DRY,Desert,Outback,Sarken
DRY,Desert,Outback,Armia
DRY,Desert,Outback,Morelan
DRY,Desert,Outback,Currituck
DRY,Desert,Outback,Wyan
DRY,Desert,Coastal,Halea
DRY,Desert,Coastal,Targea
DRY,Desert,Coastal,Thalassa
DRY,Desert,Coastal,Pelagos
DRY,Desert,Coastal,Estuary
DRY,Desert,Coastal,Seatos
DRY,Desert,Coastal,Varuna
DRY,Desert,Coastal,Ephyra
DRY,Desert,Coastal,Kythera
DRY,Desert,Coastal,Maris
DRY,Desert,Coastal,Vesara
DRY,Desert,Coastal,Sotera
DRY,Desert,Coastal,Cassia
DRY,Desert,Coastal,Selonia
DRY,Desert,Coastal,Caledon
DRY,Desert,Coastal,Hatteras
DRY,Desert,Fungi,Myrkr
DRY,Desert,Fungi,Iskera
DRY,Desert,Fungi,Soryth
DRY,Desert,Fungi,Karkaris
DRY,Desert,Fungi,Sarkosis
DRY,Desert,Fungi,Kibastea
DRY,Desert,Fungi,Vervain
DRY,Desert,Fungi,Kalypsis
DRY,Desert,Fungi,Kettos
DRY,Desert,Ironsand,Surtr
DRY,Desert,Ironsand,Crait
DRY,Desert,Ironsand,Scarif
DRY,Desert,Ironsand,Mesa
DRY,Desert,Ironsand,Tigris
DRY,Desert,Ironsand,Baran
DRY,Desert,Ironsand,Cindor
DRY,Desert,Ironsand,Kharon
DRY,Desert,Ironsand,Targea
DRY,Desert,Ironsand,Korriban
DRY,Desert,Ironsand,Moraban
DRY,Desert,Ironsand,Karthakk
DRY,Desert,Ironsand,Almorra
DRY,Desert,Cactus,Tawka
DRY,Desert,Cactus,Tigris
DRY,Desert,Cactus,Mesa
DRY,Desert,Cactus,Baran
DRY,Desert,Cactus,Tarren
DRY,Desert,Cactus,Vardos
DRY,Desert,Cactus,Tanalorr
DRY,Desert,Cactus,Makeb
DRY,Desert,Cactus,Kalar
DRY,Desert,Cactus,Armia
DRY,Desert,Cactus,Madray
DRY,Desert,Dust,Crait
DRY,Desert,Dust,Scarif
DRY,Desert,Dust,Byss
DRY,Desert,Dust,Tanalorr
DRY,Desert,Dust,Korriban
DRY,Desert,Dust,Moraban
DRY,Desert,Dust,Ruusan
DRY,Desert,Dust,Rhenvar
DRY,Desert,Dust,Denova
DRY,Desert,Dust,Karthakk
DRY,Desert,Dust,Armia
DRY,Desert,Dust,Morelan
DRY,Desert,Sodalite,Abyr
DRY,Desert,Sodalite,Caelis
DRY,Desert,Sodalite,Belyra
DRY,Desert,Sodalite,Xanthalis
DRY,Desert,Sodalite,Berylia
DRY,Desert,Sodalite,Opaline
DRY,Desert,Sodalite,Celestria
DRY,Desert,Sodalite,Avaris
DRY,Desert,Sodalite,Csilla
DRY,Desert,Sodalite,Mizra
DRY,Desert,Salt,Crait
DRY,Desert,Salt,Bathys
DRY,Desert,Salt,Byss
DRY,Desert,Salt,Seatos
DRY,Desert,Salt,Kessel
DRY,Desert,Salt,Ruusan
DRY,Desert,Salt,Rhenvar
DRY,Desert,Salt,Denova
DRY,Desert,Salt,Kura
DRY,Desert,Aquifer,Oasis
DRY,Desert,Aquifer,Eden
DRY,Desert,Aquifer,Halea
DRY,Desert,Aquifer,Estuary
DRY,Desert,Aquifer,Varuna
DRY,Desert,Aquifer,Maris
DRY,Desert,Aquifer,Thalassa
DRY,Desert,Aquifer,Oura
DRY,Desert,Aquifer,Selonia
DRY,Desert,Aquifer,Hatteras
DRY,Arid,Mesa,Mesa
DRY,Arid,Mesa,Crait
DRY,Arid,Mesa,Tarren
DRY,Arid,Mesa,Baran
DRY,Arid,Mesa,Vardos
DRY,Arid,Mesa,Tanalorr
DRY,Arid,Mesa,Korriban
DRY,Arid,Mesa,Makeb
DRY,Arid,Mesa,Rhenvar
DRY,Arid,Mesa,Denova
DRY,Arid,Mesa,Karthakk
DRY,Arid,Mesa,Morelan
DRY,Arid,Mesa,Madray
DRY,Arid,Fog Desert,Myrkr
DRY,Arid,Fog Desert,Byss
DRY,Arid,Fog Desert,Kharon
DRY,Arid,Fog Desert,Soryth
DRY,Arid,Fog Desert,Nocturne
DRY,Arid,Fog Desert,Korriban
DRY,Arid,Fog Desert,Moraban
DRY,Arid,Fog Desert,Rhenvar
DRY,Arid,Fog Desert,Lochsa
DRY,Arid,Mediterranean,Laconia
DRY,Arid,Mediterranean,Arcadia
DRY,Arid,Mediterranean,Harmonis
DRY,Arid,Mediterranean,Athena
DRY,Arid,Mediterranean,Demeter
DRY,Arid,Mediterranean,Aurelia
DRY,Arid,Mediterranean,Telos
DRY,Arid,Mediterranean,Gaea
DRY,Arid,Mediterranean,Ephyra
DRY,Arid,Mediterranean,Kythera
DRY,Arid,Mediterranean,Ilios
DRY,Arid,Mediterranean,Veneris
DRY,Arid,Mediterranean,Cassia
DRY,Arid,Mediterranean,Caledon
DRY,Arid,Mediterranean,Selonia
DRY,Arid,Badlands,Crait
DRY,Arid,Badlands,Scarif
DRY,Arid,Badlands,Kessel
DRY,Arid,Badlands,Tanalorr
DRY,Arid,Badlands,Korriban
DRY,Arid,Badlands,Ruusan
DRY,Arid,Badlands,Rhenvar
DRY,Arid,Badlands,Denova
DRY,Arid,Badlands,Karthakk
DRY,Arid,Badlands,Armia
DRY,Arid,Badlands,Morelan
DRY,Arid,Badlands,Currituck
DRY,Arid,Succulent,Verdant
DRY,Arid,Succulent,Lotus
DRY,Arid,Succulent,Sylvaris
DRY,Arid,Succulent,Verdan
DRY,Arid,Succulent,Varuna
DRY,Arid,Succulent,Vervain
DRY,Arid,Succulent,Opaline
DRY,Arid,Succulent,Savis
DRY,Arid,Striped,Tigris
DRY,Arid,Striped,Zypher
DRY,Arid,Striped,Xanthalis
DRY,Arid,Striped,Galavex
DRY,Arid,Striped,Kaleido
DRY,Arid,Striped,Sypso
DRY,Arid,Striped,Cosmara
DRY,Arid,Striped,Axila
DRY,Arid,Amethyst,Auralis
DRY,Arid,Amethyst,Belyra
DRY,Arid,Amethyst,Xanthalis
DRY,Arid,Amethyst,Krysolis
DRY,Arid,Amethyst,Berylia
DRY,Arid,Amethyst,Aetheris
DRY,Arid,Amethyst,Opaline
DRY,Arid,Amethyst,Etheria
DRY,Arid,Amethyst,Celestria
DRY,Arid,Amethyst,Mizra
DRY,Arid,Opal,Iris
DRY,Arid,Opal,Aurora
DRY,Arid,Opal,Auralis
DRY,Arid,Opal,Caelis
DRY,Arid,Opal,Belyra
DRY,Arid,Opal,Xanthalis
DRY,Arid,Opal,Berylia
DRY,Arid,Opal,Opaline
DRY,Arid,Opal,Celestria
DRY,Arid,Opal,Lucent
DRY,Arid,Opal,Kaleido
DRY,Arid,Superbloom,Lotus
DRY,Arid,Superbloom,Verdant
DRY,Arid,Superbloom,Demeter
DRY,Arid,Superbloom,Sylvaris
DRY,Arid,Superbloom,Gaea
DRY,Arid,Superbloom,Aurelia
DRY,Arid,Superbloom,Veridian
DRY,Arid,Superbloom,Ephyra
DRY,Arid,Superbloom,Berylia
DRY,Arid,Superbloom,Solara
DRY,Arid,Superbloom,Vervain
DRY,Arid,Superbloom,Opaline
DRY,Arid,Superbloom,Vespera
DRY,Arid,Superbloom,Adara
DRY,Arid,Coral,Thalassa
DRY,Arid,Coral,Pelagos
DRY,Arid,Coral,Seatos
DRY,Arid,Coral,Varuna
DRY,Arid,Coral,Ephyra
DRY,Arid,Coral,Kythera
DRY,Arid,Coral,Calypsor
DRY,Arid,Coral,Maris
DRY,Arid,Coral,Nereus
DRY,Arid,Coral,Cychia
DRY,Arid,Coral,Oura
DRY,Arid,Coral,Selonia
DRY,Arid,Primal,Surtr
DRY,Arid,Primal,Tyran
DRY,Arid,Primal,Leviathan
DRY,Arid,Primal,Kraken
DRY,Arid,Primal,Aegir
DRY,Arid,Primal,Typhon
DRY,Arid,Primal,Hydra
DRY,Arid,Primal,Kharon
DRY,Arid,Primal,Orcus
DRY,Arid,Primal,Karkaris
DRY,Arid,Primal,Krakonos
DRY,Arid,Primal,Karthakk
DRY,Savannah,Steppe,Tigris
DRY,Savannah,Steppe,Baran
DRY,Savannah,Steppe,Tarren
DRY,Savannah,Steppe,Harvest
DRY,Savannah,Steppe,Reach
DRY,Savannah,Steppe,Frontier
DRY,Savannah,Steppe,Verdan
DRY,Savannah,Steppe,Tanalorr
DRY,Savannah,Steppe,Soryth
DRY,Savannah,Steppe,Volund
DRY,Savannah,Steppe,Sarken
DRY,Savannah,Steppe,Kalar
DRY,Savannah,Steppe,Morelan
DRY,Savannah,Prairie,Harvest
DRY,Savannah,Prairie,Reach
DRY,Savannah,Prairie,Frontier
DRY,Savannah,Prairie,Verdant
DRY,Savannah,Prairie,Harmony
DRY,Savannah,Prairie,Haven
DRY,Savannah,Prairie,Demeter
DRY,Savannah,Prairie,Verdan
DRY,Savannah,Prairie,Tanalorr
DRY,Savannah,Prairie,Sylvan
DRY,Savannah,Prairie,Lineara
DRY,Savannah,Prairie,Genevah
DRY,Savannah,Semi-Arid,Mesa
DRY,Savannah,Semi-Arid,Baran
DRY,Savannah,Semi-Arid,Vardos
DRY,Savannah,Semi-Arid,Tarren
DRY,Savannah,Semi-Arid,Tanalorr
DRY,Savannah,Semi-Arid,Makeb
DRY,Savannah,Semi-Arid,Ruusan
DRY,Savannah,Semi-Arid,Kalar
DRY,Savannah,Semi-Arid,Armia
DRY,Savannah,Semi-Arid,Morelan
DRY,Savannah,Aspen,Sylvaris
DRY,Savannah,Aspen,Verdant
DRY,Savannah,Aspen,Veridian
DRY,Savannah,Aspen,Sylvan
DRY,Savannah,Aspen,Alder
DRY,Savannah,Aspen,Vervain
DRY,Savannah,Aspen,Pinenia
DRY,Savannah,Aspen,Arken
DRY,Savannah,Aspen,Lochsa
DRY,Savannah,Aspen,Hatteras
DRY,Savannah,Sandstone,Crait
DRY,Savannah,Sandstone,Mesa
DRY,Savannah,Sandstone,Targea
DRY,Savannah,Sandstone,Tanalorr
DRY,Savannah,Sandstone,Korriban
DRY,Savannah,Sandstone,Makeb
DRY,Savannah,Sandstone,Rhenvar
DRY,Savannah,Sandstone,Karthakk
DRY,Savannah,Sandstone,Morelan
DRY,Savannah,Sandstone,Madray
DRY,Savannah,Turquoise,Iris
DRY,Savannah,Turquoise,Aurora
DRY,Savannah,Turquoise,Auralis
DRY,Savannah,Turquoise,Caelis
DRY,Savannah,Turquoise,Cychia
DRY,Savannah,Turquoise,Xanthalis
DRY,Savannah,Turquoise,Berylia
DRY,Savannah,Turquoise,Opaline
DRY,Savannah,Turquoise,Oura
DRY,Savannah,Turquoise,Mizra
DRY,Savannah,Calcite,Kessel
DRY,Savannah,Calcite,Caelis
DRY,Savannah,Calcite,Xylos
DRY,Savannah,Calcite,Krysolis
DRY,Savannah,Calcite,Berylia
DRY,Savannah,Calcite,Opaline
DRY,Savannah,Calcite,Cruxos
DRY,Savannah,Calcite,Kalar
DRY,Savannah,Monsoon,Tigris
DRY,Savannah,Monsoon,Tempest
DRY,Savannah,Monsoon,Varuna
DRY,Savannah,Monsoon,Cyclonis
DRY,Savannah,Monsoon,Thulara
DRY,Savannah,Monsoon,Sypso
DRY,Savannah,Monsoon,Cosmara
DRY,Savannah,Monsoon,Thyferra
DRY,Savannah,Silvergrass,Tarren
DRY,Savannah,Silvergrass,Reach
DRY,Savannah,Silvergrass,Frontier
DRY,Savannah,Silvergrass,Verdan
DRY,Savannah,Silvergrass,Sylvan
DRY,Savannah,Silvergrass,Lineara
DRY,Savannah,Silvergrass,Wyan
DRY,Savannah,Supercontinental,Tigris
DRY,Savannah,Supercontinental,Laconia
DRY,Savannah,Supercontinental,Tanalorr
DRY,Savannah,Supercontinental,Atlas
DRY,Savannah,Supercontinental,Meridian
DRY,Savannah,Supercontinental,Vardos
DRY,Savannah,Supercontinental,Varadon
DRY,Savannah,Supercontinental,Vandris
DRY,Savannah,Supercontinental,Vandor
DRY,Savannah,Supercontinental,Vanador
DRY,Savannah,Sinkhole,Kessel
DRY,Savannah,Sinkhole,Abyr
DRY,Savannah,Sinkhole,Kharon
DRY,Savannah,Sinkhole,Orcus
DRY,Savannah,Sinkhole,Oxum
DRY,Savannah,Sinkhole,Exolok
DRY,Savannah,Sinkhole,Kettos
DRY,Savannah,Sinkhole,Karkaris
DRY,Savannah,Sinkhole,Korriban
DRY,Savannah,Sinkhole,Athiss
COLD,Arctic,Cold Desert,Ilum
COLD,Arctic,Cold Desert,Crait
COLD,Arctic,Cold Desert,Glacien
COLD,Arctic,Cold Desert,Crythe
COLD,Arctic,Cold Desert,Myrkr
COLD,Arctic,Cold Desert,Kessel
COLD,Arctic,Cold Desert,Rhenvar
COLD,Arctic,Cold Desert,Ryloth
COLD,Arctic,Cold Desert,Rhyxis
COLD,Arctic,Cold Desert,Arctis
COLD,Arctic,Glacial,Glacien
COLD,Arctic,Glacial,Ilum
COLD,Arctic,Glacial,Crythe
COLD,Arctic,Glacial,Nivalis
COLD,Arctic,Glacial,Arctis
COLD,Arctic,Glacial,Rhenvar
COLD,Arctic,Glacial,Caelum
COLD,Arctic,Glacial,Csilla
COLD,Arctic,Antarctic,Glacien
COLD,Arctic,Antarctic,Ilum
COLD,Arctic,Antarctic,Crythe
COLD,Arctic,Antarctic,Nivalis
COLD,Arctic,Antarctic,Arctis
COLD,Arctic,Antarctic,Baffin
COLD,Arctic,Antarctic,Rhenvar
COLD,Arctic,Aeolian,Zypher
COLD,Arctic,Aeolian,Zephryon
COLD,Arctic,Aeolian,Tempest
COLD,Arctic,Aeolian,Vortexos
COLD,Arctic,Aeolian,Cyclonis
COLD,Arctic,Aeolian,Sypso
COLD,Arctic,Aeolian,Wyan
COLD,Arctic,Ice Spike,Crythe
COLD,Arctic,Ice Spike,Glacien
COLD,Arctic,Ice Spike,Ilum
COLD,Arctic,Ice Spike,Arctis
COLD,Arctic,Ice Spike,Rhyxis
COLD,Arctic,Ice Spike,Cruxos
COLD,Arctic,Ice Spike,Xytes
COLD,Arctic,Crevasse,Glacien
COLD,Arctic,Crevasse,Crythe
COLD,Arctic,Crevasse,Ilum
COLD,Arctic,Crevasse,Rhenvar
COLD,Arctic,Crevasse,Arctis
COLD,Arctic,Crevasse,Abyr
COLD,Arctic,Crevasse,Cruxos
COLD,Arctic,Ice Dune,Ilum
COLD,Arctic,Ice Dune,Glacien
COLD,Arctic,Ice Dune,Crythe
COLD,Arctic,Ice Dune,Nivalis
COLD,Arctic,Ice Dune,Rhenvar
COLD,Arctic,Ice Dune,Crait
COLD,Arctic,Supraglacial Lakes,Glacien
COLD,Arctic,Supraglacial Lakes,Ilum
