Male First Names,Female First Names,Second Names,Male Regnal First Names,Female Regnal First Names,Regnal Second Names
Faron,Phaelon,Fennix,,,
Galen,Selyria,Jastor,,,
Hax,Atheris,Korran,,,
Ikar,Belisane,Landover,,,
Jalen,Coralyth,Marrek,,,
Korr,Elariel,Nabrex,,,
Lio,Farynne,Orsane,,,
Mylo,Iskaria,Pellon,,,
Narek,Jalyssa,Qelvar,,,
Ovan,Kyrielle,Rendar,,,
Perek,Larethia,Sarlon,,,
Quin,Morwynn,Tavros,,,
Rax,Nalyxen,Veskor,,,
Silar,Olyssia,Wexley,,,
Tovin,Pyralis,Yarrix,,,
Urel,Rivenna,Zevran,,,
Vanto,Saralyn,Corevin,,,
Wren,Thirena,Kestis,,,
Xiro,Ullyra,Tenna,,,
Yarek,Vaelora,Andorin,,,
Zeno,Xylaris,Beltrax,,,
Arik,Zarelle,Cassel,,,
Brask,Aurelith,Dornik,,,
Ciro,Brisella,Erevon,,,
Dren,Caerynna,Falrix,,,
Elox,Dovaryn,Gorran,,,
Ferris,Eshara,Hestrel,,,
Garr,Irelune,Ithorin,,,
Hiren,Kalithra,Jexor,,,
Ivo,Loryssia,Kallus,,,
Kairo,Myxara,Morren,,,
Lorn,Nythera,Nerros,,,
Madox,Oralyne,Orvak,,,
Jaxen,Saphyra,Pellin,,,
Kaerin,Terynna,Raxen,,,
Rydel,Virelya,Torvin,,,
Zarik,Zalythra,Vandrek,,,
Aleron,Ilyana,Avarin,,,
Barek,Aelyra,Caelorn,,,
Cyran,Belara,Darevon,,,
Davor,Ceryn,Elaran,,,
Edrik,Daelis,Galvaren,,,
Gavren,Elara,Hadrin,,,
Helik,Elaryn,Ilyrian,,,
Isen,Galira,Kaelorin,,,
Kelor,Haelys,Loraven,,,
Lorik,Ilyra,Maerion,,,
Maeron,Kaelis,Narevon,,,
Navor,Orelia,Orlath,,,
Orven,Ravella,Ravaryn,,,
Ralen,Phaedra,Saelorn,,,
Sael,Saelira,Talvaren,,,
Tarek,Taeryn,Vaelorn,,,
Vaelor,Varessa,Xerath,,,
Xeran,Xelyra,Zoraven,,,
Yarik,Zeraya,Ardelon,,,
Zevik,Averis,Corvane,,,
Arven,Celyra,Delyran,,,
Bralen,Elaris,Eryndor,,,
Croven,Ferynne,Kestran,,,
Garek,Ilythra,Lorynth,,,
Jorik,Kessira,Merovan,,,
Kaelor,Maelis,Nerath,,,
Lyran,Olyra,Sorevan,,,
Neryk,Rhaelis,Theradin,,,
Oren,Sorelia,Valecor,,,
Rovan,Theryssa,Xandren,,,
Sarek,Velrya,Zarevon,,,
Valen,Xariel,Caldris,,,
Xyren,Zarelia,Veyrath,,,
Zoren,Rhea,Teryndor,,,
Ilyan,Cira,,,,
Cael,Aela,,,,
Dain,Elya,,,,
Eros,Jora,,,,
Kain,Lysa,,,,
Ryn,Sera,,,,
Zair,Teya,,,,
Arden,Veya,,,,
Evran,Xara,,,,
Teren,Zira,,,,
